# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.003.out.txt' '-syntax' '3' '--no-log' -seed 377456280
# "uuid" : "338903741"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,16,9,7,11,9,11,10,10,7,4,56,28,28,3,4,2,1,1,3,0,8
20.,22,11,10,13,10,12,10,12,8,7,56,28,28,6,4,2,0,3,5,0,5
30.,25,13,11,10,13,13,14,14,12,5,56,28,28,5,1,2,1,1,3,0,8
40.,25,12,10,10,14,14,13,17,11,6,56,28,28,4,3,2,2,3,4,0,4
50.,28,15,14,12,10,13,11,18,10,4,56,28,28,6,4,1,1,2,3,0,4
60.,25,17,16,12,11,12,12,23,11,4,56,28,28,7,3,2,2,3,3,0,3
70.,29,18,17,12,10,14,14,26,11,5,56,28,28,4,2,1,3,2,5,0,5
80.,28,19,17,11,10,14,14,28,7,6,56,28,28,6,3,1,2,3,4,0,6
90.,28,21,18,11,11,12,13,26,7,6,56,28,28,4,1,1,0,3,4,0,8
