# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.000.out.txt' '-syntax' '3' '--no-log' -seed 660167663
# "uuid" : "452028060"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,18,10,8,8,7,11,11,6,7,5,56,28,28,6,2,1,2,3,2,0,7
20.,20,13,11,11,9,14,10,8,7,7,56,28,28,4,2,0,1,2,4,0,7
30.,22,14,12,7,11,16,11,10,8,5,56,28,28,4,3,2,1,3,3,0,6
40.,24,16,13,9,10,14,11,13,6,5,56,28,28,3,1,2,1,3,4,0,6
50.,26,17,16,9,13,15,11,16,7,5,56,28,28,5,1,2,1,2,3,0,7
60.,28,20,18,12,13,12,9,19,7,3,56,28,28,5,2,1,3,2,0,0,9
70.,23,22,20,11,12,13,13,20,9,4,56,28,28,4,2,2,0,2,4,0,8
80.,26,21,19,10,11,10,11,23,9,6,56,28,28,6,2,1,2,3,2,0,5
90.,31,22,19,11,13,11,11,25,10,4,56,28,28,5,1,1,0,3,4,0,7
