# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.001.out.txt' '-syntax' '3' '--no-log' -seed 827728995
# "uuid" : "865354016"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,17,9,7,9,8,9,12,7,7,4,56,28,28,9,1,0,2,2,3,0,7
20.,20,11,9,11,10,9,13,9,8,4,56,28,28,6,2,2,1,3,5,0,4
30.,23,14,11,12,11,11,11,12,9,9,56,28,28,7,2,2,3,2,3,0,4
40.,25,16,13,12,12,13,10,15,6,6,56,28,28,5,2,1,1,3,2,0,7
50.,27,17,15,13,9,13,12,15,7,6,56,28,28,6,3,1,1,2,3,0,8
60.,25,18,17,14,13,14,10,16,9,4,56,28,28,6,3,2,2,2,2,0,6
70.,26,21,19,14,9,12,14,19,7,5,56,28,28,5,1,2,1,2,4,0,9
80.,29,19,17,15,11,11,15,20,8,2,56,28,28,3,2,1,2,3,4,0,8
90.,30,23,20,11,11,12,13,23,9,2,56,28,28,3,3,2,1,3,5,0,3
